No ,FACILITY,ADDRESS,CITY,ZIP,PHONE,FAX,Primary Circuit,Secondary Circuit,Circuit speeds,Internet Provider,Phone Provider,Account Number,Circuit ID,WAN IP,LAN IP,Notes
355,Birchwood,110 Highway 64 West,Cooper,75432,903-395-2125,903-395-4932,,,,CenturyLink,Mettel,313105218,903.395.4932,67.77.67.172,192.168.155.0/24,
356,Blanco Villa,8020 Blanco Road,San Antonio,78216,210-344-4553,210-366-3728,,,,Time Warner,Mettel,,,24.153.130.118,192.168.156.0/24,
310,Bluebonnet,696 FM 99,Karnes City,78118,830-780-3944,830-780-4469,DSL VPN,,,AT&T,Mettel,,,99.165.134.209,192.168.110.0/24,Not the flower
341,Bonham,709 West Fifth,Bonham,75418,903-583-8551,903-583-9456,Cable VPN,,,Cable One,Mettel,,,72.24.133.110,192.168.141.0/24,
357,Brownwood,101 Miller Dr.,Brownwood,76801,325-643-9555,325-643-9519,,,,Verizon,Mettel,,,71.116.13.146,192.168.157.0/24,
391,Burleson,600 Maple Ave. ,Burleson,76028,817-295-8118,817-447-0857,,,,CenturyLink,Simple Signal,,DS1NT-17137792.1 and .2,63.158.126.18/30,172.23.91.0/24,Labeled as Qwest MPLS circuit
330,Carrizo springs,506 S. 7th Street,Carrizo Springs,78834,830-876-5011,830-876-9414,,,,AT&T,Mettel,,,75.34.249.217,192.168.130.0/24,
358,Clifton,1000 FM 3220,Clifton,76634,254-675-2828,254-675-2929,,,,CenturyLink,Mettel,,,69.68.119.190,192.168.158.0/24,
392,Comfort,615 Faltin St. ,Comfort,78013,830-995-3747,830-995-3057,,,,CenturyLink,Simple Signal,,DS1NT-16930067.01 and .02,67.132.138.122/30,172.23.87.0/24,
309,Cottonwood,2224 North Carroll Blvd.,Denton,76201,940-387-6656,940-387-9548,T-1 MPLS,,1.5mb,Paetec\windstream,Paetec,,,209.253.109.166/30,192.168.109.0/24,Bonded T1's: (1) - LEC 28/HCGS/907919//SW (2) - /LEC 28/HCGS/907920//SW
